ManufacturerProductNumber,SeriesName,ManufacturerName,DatasheetUrl,PhotoUrl,ProductStatus,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Core Processor,Number of Cores/Bus Width,Speed,RAM Controllers,Ethernet,Voltage - I/O
MCP16502TAA-E/S8B,-,Microchip Technology,http://ww1.microchip.com/downloads/en/DeviceDoc/MCP16502-High-Performance-PMIC-for-SAMA5DX-SAM9X6-MPUs-Data-Sheet-DS20006275B.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/60/150%7EC04-21402%7ES8B%7E32.jpg,Active,-40°C ~ 125°C (TJ),Surface Mount,32-VFQFN Exposed Pad,32-VQFN (5x5)
Z84C0008PEG,Z80,Zilog,http://www.zilog.com/docs/z80/ps0178.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1062/269-40-DIP.jpg,Active,-40°C ~ 100°C (TA),Through Hole,"40-DIP (0.620"", 15.75mm)",40-PDIP,Z80,"1 Core, 8-Bit",8MHz,-,-,5.0V
AT91SAM9G25-CU,SAM9G,Microchip Technology,https://ww1.microchip.com/downloads/aemDocuments/documents/MPU32/ProductDocuments/DataSheets/SAM9G25-Datasheet-DS60001731A.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1087/217-LFBGA.jpg,Active,-40°C ~ 85°C (TA),Surface Mount,217-LFBGA,217-LFBGA (15x15),ARM926EJ-S,"1 Core, 32-Bit",400MHz,"DDR2, SDRAM, SRAM",10/100Mbps,"1.8V, 3.3V"
AMIC110BZCZA,Sitara™,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Famic110,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/324-NFBGA%2815x15%29.JPG,Active,-40°C ~ 105°C (TJ),Surface Mount,324-LFBGA,324-NFBGA (15x15),ARM® Cortex®-A8,"1 Core, 32-Bit",300MHz,"LPDDR, DDR2, DDR3, DDR3L",-,"1.8V, 3.3V"
ATSAMA5D27C-CU,SAMA5D2,Microchip Technology,https://ww1.microchip.com/downloads/en/DeviceDoc/MPU-SAMA5D27C-CNVAO-datasheet-60001532a.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6094/150%7E289LFBGA-1.4-14X14%7EC%7E289.jpg,Active,-40°C ~ 85°C (TA),Surface Mount,289-LFBGA,289-LFBGA (14x14),ARM® Cortex®-A5,"1 Core, 32-Bit",500MHz,"LPDDR1, LPDDR2, LPDDR3, DDR2, DDR3, DDR3L, QSPI",10/100Mbps (1),3.3V
ATSAMA5D27C-CUR,SAMA5D2,Microchip Technology,https://ww1.microchip.com/downloads/en/DeviceDoc/MPU-SAMA5D27C-CNVAO-datasheet-60001532a.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6094/150%7E289LFBGA-1.4-14X14%7EC%7E289.jpg,Active,-40°C ~ 85°C (TA),Surface Mount,289-LFBGA,289-LFBGA (14x14),ARM® Cortex®-A5,"1 Core, 32-Bit",500MHz,"LPDDR1, LPDDR2, LPDDR3, DDR2, DDR3, DDR3L, QSPI",10/100Mbps (1),3.3V
AT91SAM9X35-CU,SAM9X,Microchip Technology,https://ww1.microchip.com/downloads/aemDocuments/documents/MPU32/ProductDocuments/DataSheets/SAM9X35-Data-Sheet-DS60001730.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1087/217-LFBGA.jpg,Active,-40°C ~ 85°C (TA),Surface Mount,217-LFBGA,217-LFBGA (15x15),ARM926EJ-S,"1 Core, 32-Bit",400MHz,"LPDDR, LPDDR2, DDR2, DDR, SDR, SRAM",10/100Mbps,"1.8V, 2.5V, 3.0V, 3.3V"
AT91SAM9X25-CU,SAM9X,Microchip Technology,https://ww1.microchip.com/downloads/aemDocuments/documents/MPU32/ProductDocuments/DataSheets/SAM9X25-Data-Sheet-DS60001729.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1087/217-LFBGA.jpg,Active,-40°C ~ 85°C (TA),Surface Mount,217-LFBGA,217-LFBGA (15x15),ARM926EJ-S,"1 Core, 32-Bit",400MHz,"LPDDR, LPDDR2, DDR2, DDR, SDR, SRAM",10/100Mbps (2),"1.8V, 2.5V, 3.0V, 3.3V"
AT91SAM9260B-CU,AT91SAM,Microchip Technology,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-6221-32-bit-ARM926EJ-S-Embedded-Microprocessor-SAM9260_Datasheet.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1087/217-LFBGA.jpg,Active,-40°C ~ 85°C (TA),Surface Mount,217-LFBGA,217-LFBGA (15x15),ARM926EJ-S,"1 Core, 32-Bit",180MHz,"SDRAM, SRAM",10/100Mbps,"1.8V, 2.5V, 3.3V"
AT91SAM9260B-QU,AT91SAM,Microchip Technology,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-6221-32-bit-ARM926EJ-S-Embedded-Microprocessor-SAM9260_Datasheet.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4542/150%7E208PQFP-4%2C1-28x28%7EPQ%7E208.JPG,Active,-40°C ~ 85°C (TA),Surface Mount,208-BFQFP,208-PQFP (28x28),ARM926EJ-S,"1 Core, 32-Bit",180MHz,"SDRAM, SRAM",10/100Mbps,"1.8V, 2.5V, 3.3V"
