PartNumber,Manufacturer,ProductStatus,Switch Circuit,Multiplexer/Demultiplexer Circuit,On-State Resistance (Max),Package,AdditionalKeyinformation_Interface,Quantity,DatasheetUrl,PhotoUrl,Description
SN74LVC1G3157DCKR,Texas Instruments,Active,SPDT,2:1,15Ohm,Tape & Reel (TR),,487272,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g3157,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4002/296%7E4093553-4%7EDCK%7E6%7ETop.jpg,IC SWITCH SPDT X 1 15OHM SC70-6
PI5A3157CEX,Diodes Incorporated,Active,SPDT,2:1,13Ohm,Tape & Reel (TR),,183000,https://www.diodes.com/assets/Datasheets/PI5A3157.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4895/MFG_PS4157N.jpg,IC SWITCH SPDTX1 13OHM SOT363-6
SN74LVC1G66DBVR,Texas Instruments,Active,SPST - NO,1:1,10Ohm,Tape & Reel (TR),,0,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g66,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4180/296%7E4073253-4%7EDBV%7E5.JPG,IC SWITCH SPST-NOX1 10OHM SOT23
"74HC4051PW,118",Nexperia USA Inc.,Active,-,8:1,120Ohm,Tape & Reel (TR),,80000,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4051.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5544/1727%7ESOT403-1%7EPW%7E16.jpg,IC MUX 8:1 120OHM 16TSSOP
CD74HC4051M96,Texas Instruments,Active,-,8:1,130Ohm,Tape & Reel (TR),,32500,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcd74hc4051,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3982/296%7E4040047-6%7ED%7E16.JPG,IC MUX 8:1 130OHM 16SOIC
CD74HC4051PWR,Texas Instruments,Active,-,8:1,130Ohm,Tape & Reel (TR),,14000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcd74hc4051,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4108/296%7E4040064-4%7EPW%7E16.JPG,IC MUX 8:1 130OHM 16TSSOP
CD74HC4052M96,Texas Instruments,Active,SP4T,4:1,130Ohm,Tape & Reel (TR),,12500,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcd74hc4051,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3982/296%7E4040047-6%7ED%7E16.JPG,IC SWITCH SP4T X 2 130OHM 16SOIC
TS5A9411DCKR,Texas Instruments,Active,SPDT,2:1,9Ohm,Tape & Reel (TR),,9000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fts5a9411,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4002/296%7E4093553-4%7EDCK%7E6%7ETop.jpg,IC SWITCH SPDT X 1 9OHM SC70-6
SN74LVC2G66DCUR,Texas Instruments,Active,SPST - NO,1:1,10Ohm,Tape & Reel (TR),,9000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc2g66,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/321/8-TSSOP%2C-8-MSOP-3x3mm.jpg,IC SWITCH SPST-NOX2 10OHM 8VSSOP
CD4066BM96,Texas Instruments,Active,SPST,1:1,240Ohm,Tape & Reel (TR),,185000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcd4066b,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/510/296%3B-4040047-5%3B-D%3B-14.jpg,IC QUAD BILATERAL SWITCH 14SOIC
CD74HC4052PWR,Texas Instruments,Active,SP4T,4:1,130Ohm,Tape & Reel (TR),,4000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcd74hc4051,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4108/296%7E4040064-4%7EPW%7E16.JPG,IC SWITCH SP4TX2 130OHM 16TSSOP
SN74LVC1G3157DBVR,Texas Instruments,Active,SPDT,2:1,15Ohm,Tape & Reel (TR),,111000,https://www.ti.com/lit/ds/symlink/sn74lvc1g3157.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/296_SOT-23-6%20PKG.jpg,IC SWITCH SPDT X 1 15OHM SOT23-6
TS5A3166DCKR,Texas Instruments,Active,SPST - NO,1:1,900mOhm,Tape & Reel (TR),,66000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fts5a3166,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4023/296%7E4093553-3%7EDCK%7E5.JPG,IC SW SPST-NOX1 900MOHM SC70-5
TS5A3166DBVR,Texas Instruments,Active,SPST - NO,1:1,900mOhm,Tape & Reel (TR),,18000,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fts5a3166,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4180/296%7E4073253-4%7EDBV%7E5.JPG,IC SW SPST-NOX1 900MOHM SOT23-5
74VHC4051AFT,Toshiba Semiconductor and Storage,Active,-,8:1,37Ohm,Tape & Reel (TR),,20000,,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/RU-16.jpg,IC MUX 8:1 37OHM 16TSSOP
